id;text
58842520;read library from cdn within mirth some test around mirth connect test channel that the datatype being for the source and one destination the destination anything right now the source the connector type and the code the following the error get the reason want this build custom internal library with unit test and serve them with internal company cdn and allow mirth consume them how make the library available mirth
58551159;how the scu receive dcm images from dicom server with get seen the official pynetdicom documentation but get the proper event handlers for the scu receiv image first create the required dcm file dataset and use the get command which give the dcm file but also specify where image are store the scu need use the move command get images code incomplete sense that event handlers being specified for scu onreceivestore expected the dcm send from the dicom server conquest server case but only recev the dicom tag confirm that this dataset give query the conquest server present want know exactly how receive the images scu use this application entity this the response from the conquest server the conquest server send the file but the scu unable receive
58408614;fhir server for azure azure mechanism when there being multiple server explain you have register your fhir api with azure order make calls the api azure free for single sign for app give scenario where have more than fhir apis accessed through single web platform multiple user need assign account for each actor and pay user month premium have single account that used make calls the apis and authenticate the actor through another method you have hundreds user pretty expensive pay for each just for authentication understand azure correctly there any other better method
58336075;how modify the preamble dicom file using mergecom library need modify the preamble dicom file using know can this use mergecom library however very new this library and haven use this before opened the but too extensive and take time get what need can someone guide that direction give simple code snippet that this thing
58231117;which format for the bad pixel image dicom tag file format write dicom diconde file library now add bad pixel image into the file accord dicom standard part06 the bad pixel image store tag with data type but what the exact format guess one bite per pixel mean pixel mean bad pixel can someone confirm that where find some sample dicom files contain bad pixel edit astm specify the bad pixel image format any advice appreciate
58070145;there easy way find the type dicom tag for creat anonymization identification tool delete overwrite all tags attribute from the dicom file that being necessary search around the internet but find clear list which tag being mandatory for dicom file found that there are multiple types type mandatory type must least empty string and type delete but far have find easy list online with all tag and their type anyone list tag and type list mandatory tags for dicom file
58042116;vast difference cv2 imshow matplotlib imshow currently work program that requires read dicom file and display them correctly after extract the pixel array from the dicom file ran both the function from matplotlib and cv2 surprise they both yield vastly different image one have color while the other and one show more detail than the other confused why this happening found and tried converting the pixels brg instead rgb what cv2 use but this change nothing wonder why that these framework show the same pixel buffer differently below code and image show the outcome
58017585;android activity recognition permission sdk run android sdk android app target sdk and connect google fit upload data and read some other data the app use the historyapi read com google step count delta data this documentation claim that com google android gms permission activity recognition permission convert into pre grant runtime permission the app target sdk but run sdk adde the app manifest like the documentation say when this android app device run android sdk and the user connect google fit for the first time get log saying yet the documentation claim that this convert into pre grant runtime permission the team not ready migrate the app target sdk just yet how continue get com google step count delta data without this error assum that this log mean didn actually connect there log statement that say
58009141;how convert uuid guid oid dicom uid javascript how convert uuid guid value like that genreate with oid dicom uid like prefer the solution javascript see the example convert with online generator
57855759;android google fit data upload error datatype name match package name app upload user activity data google fit like this this work fine until approx sep then google seemed change something resulting the following warn when creat the sessioninsertrequest and onfailurelistener get the following message datatype were change they are request when the user asked give permission upload and create datasource like similar the show matter omit set the name the datasource use setname packagename also use setstreamname packagename instead resolve the issue anybody else have this similar issue thank you robert
