id,text
48108329,problem with send data hl-seven server use node just trying make simple hl-seven mllp client using node make some code that create connection with hl-seven server via socket send some data server then wait for some answer for test purpos use hapi testpanel issue when send data use script hapi testpanel testpanel don anwser the testpanel log says that client connect and than nothing when turne debug option testpanel log says that testpanel recieved bytes from client end then nothing else what the wrong with script can anyone help thank you here script here screenshot testpanel log
39133855,smart fhir python client with bundle have fhir patient bundle json from the everything operation now interested using the smart fhir python client model make working with the json file lot easier example give the following would possible instantiate something with just generic bundle object class able access different resource inside the bundle
19869939,hl-seven accelerator error schema find after upgrade biztalk dev machine upgrade biztalk server biztalk send hl72 messaves from another machine this one and get schema find error alternate error number alternate error description schema found alternate encoding system hl-seven bta the message specify lab the sending application and have party calle lab which specify the schema namespace figure why look for the oru schema the default microsoft namespace our message looks follow anyone have ideas try
38400543,invok mirth connect cli with powershell script use powershell invoke the mccommand exe explicitly avoiding use the parameter the mirth cli pass mirth script file because want pass dynamic command instead the mirth shell when invoke mccommand exe from interactive powershell console able connect the mirth connect server and the opened where run one more mirth shell commands manage mirth channels example when run the same command from within powershell script via the windows powershell ise get the same connected mirth connect server message but the script wait and get the command prompt that allows pass mirth shell command mirth any thought how route commands the mirth shell via powershell script
50110904,use sparql get the first entity superclasses certain class use jena from java code and blazegraph server try query the first superclass path certain class and course didn use either with the predicate the query work well from the blazegraph interface but when try apply the query from jena and java return all superclasses the following being the query and the code note this when use the web interface blazegraph with url localhost the query work well but put the address instead localhost the query return all superclass but from java code neither change using localhost edit what follow the property file
39238369,cda fhir mapping trying add support for ehr platforms take pure implementer approach build intermediate representation such xml for map cda fhir use the smart fhir the reference implementation for this the cda trying use the australian extension ereferral digitalhealth gov implementation resources clinical documents nehta possible create such intermediate representation use the smart fhir any other fhir reference implementation have anyone else try this while search for actual implementation come across these repos the fhir group have some hand crafted are there any equivalent cda examples for these fhir resources read couple web articles and white paper documents regard the challenge between the transform such david hay say fhir document that like object graph roote the composition resource their equivalent representation for cda rene spronk about whether hl-seven message document what being the implication for implementer who has handle and validate representation across both cda and fhir when fhir accommodate the full cda use case the future hold the promise seamless integration and information shar between clinical document and apis this mean that cda fhir transform not possible this stage the fhir standard apology for cross posting both and fhir community forums
40586787,why isn fhir resource validate against profile trying validate instance the resource type basic against the following profile which created uploade the profile local hapi server then try upload resource and validate using the following url url basic validate profile url structuredefinition stelar profile questionresponse this the resource when upload happy get number error code returne with the message unexpected failure while validate resource not really sure how find why fail though how about this can anyone spot what the issue with form
1008897,emr electronic medical record standard record format few associate and myself start emr project electronic medical record heard talk the past and more lately about standard record format facilitate the transferring record when appropriate hipaa from one facility another have anyone see any information this
21085706,fetch data from cerner emr ehr don have much idea medical domain evaluate requirement from our client who use cerner emr system per the requirement need expose the cerner emr fetch some emr ehr data and display sharepoint portal meet this requirement what kind integration options cerner propose there any api web services expose which used build custom solutions for the same far know cerner expose emr ehr information hl-seven format but don have any idea how access that request cerner for the same awaiting reply from their end anybody who associate with similar kind job can through some light and provide with some insight
40520486,how generate event after hapi rest api call execution analyze the implementation hapi method fhir enable legacy information system need execute some other task after rest api call consumed hapi for notify third party execute sql have you have similar experience how have you tackled requests thanks lot nicolas
30405438,message response zombies occurr with errors code and orchestration consider the following message flow biztalk mllp receive ports locations setup receiv hl-seven-v2 message one application these port each receive slightly different message type let call this one rp1 another application send port that subscribe each respective receive port these send port each have outbound map that transform the messages hl-seven-v3 and submit wcf request response service let call this sp1 the wcf service then process and validates the hl-seven-v3 and send hl-seven-v3 ack message the sp1 send port have custom send and receive pipeline components the receive from the wcf response just take the message and promote certain field which use later for subscription there being then two more send ports sp2 that subscribe positive acks sp3 the negative base the field promote above the positive acks are consume and the negative acks being emailed off support staff the issue that about messages see these error messages popping followed suspend service instance the group viewer the service name the suspended instance that rp1 the message type the non consumed message that the ack from sp1 the wcf response this weird because mind rp1 should expect this response message and there being send ports sp2 sp3 subscribed the response message type the other point forgot make there being receive port like rp1 each with receive location and send port subscribe their respective receive ports the biztalk server install across physical server shar biztalkmgmtdb messagebox previous this have the same number messages feed but was consolidate the sending end one single receive location the old solution have multiple orchestration but experience this issue why now being the wcf hl-seven-v3 response messages getting lost and being suspend under instance rp1 hl-seven-v2 here basic image what look like
50707499,standard code identify email types work personal etc work for health technology company and use the hl-seven and snomed standard code identify phone numbers home address races ethnicities etc look avail for hl-seven snomed standardized codes define user email type there another standard with code that identify types email
234909,sql for pars edi ncpdp hl-seven have some edi message hl-seven etc store oracle database sometimes want pull individual fields isa currently have some really ugly sql like create sql package make easier and wonder anybody have already done this imagine something like select edi extract field clob column isa from edi table
41110920,what mean fhir compliant work solution for the hrrp want make server fhir compliant but what fhir compliant mean hrrp solution have some data that match any the pre define resource for example the hrrp solution involves calculating scores like readmission ratio payment etc
