id,text
43209570,heart rate update frequency phone have ios iphone app with watchkit watch app extension the watch app run and successfully query data sample returne about every seconds the phone app run similar query but generally return empty samples array although occasionally return batch samples represent longer period data from the watch minute worth say presumably this battery save tactic the watch possible for the phone app query heartrate from healthstore similar rate the watch app for the watch push data through healthkit more work around this push data from the watch the phone use but prefer could just query healthkit directly the phone
29261746,ios develop for healthkit dob height etc com nil tasked with learn healthkit seem fairly straight forward started building own app get steps etc however get date birth sex etc they are returne nil then downloade apple sample app fit again come with nothing have authorised both app and create medical health base the only thing
29854990,better way run multiple healthkit sample queries have scenario where need retrieve multiple sets data from healthkit body temperature weight and blood pressure need all before continue processing because they going end pdf naive first approach going run one then the hksamplequery resultshandler call the second then that resultshandler call the third that feel kind don know feels missing something there better way the naive approach reasonable
41372310,test healthkit without pay apple looking try write app help wife out with mov some data around into healthkit there way use xcode and xamarian gain access the healthkit sdk without have the app how create app without spend the like experiment first without pay
29708829,ios healthkit today step count always but trail day being our app query the healthkit for trail days worth step counts summed daily with pivot midnight the range midnight until tomorrow midnight since want today step until now that work and being always able get the past day data except today always but the weird part that then open the default ihealth app that come with ios calculate the health data and show today step the chart and then reopen our app and reload the chart data today step miraculously there match what ihealth shows doe iphone automatically generate daily step count midnight and caches something there separate call need make order calculate today data something prior retrieving any health metrics here the function call get the data
12212958,oauth authentification fitbit use httr try connect the fitbit api use the using the example provided came with the following code get the authentication complete message from httr but try access the api then throw error message any clue about what the problem might
28802053,healthkit step counter trying use healthkit step counter and far this what have doesn fail but don see any activity what miss
29985672,query healthkit data via rest api possible get data from healthkit the same way you would query regular api with user consent store webapp something like yes where find list available method being there any workaround
25400102,hkhealthstore requestauthorizationtosharetypes readtypes completion always return success seem capture and handle the user cancell healthkit premissions the completion block returns success and nil error
25400139,hkhealthstore deleteobject and hkcorrelation have difficulty properly delet hkcorrelation object delete end with separate entry for each entity and also the original correlation additionally try clean each sample manually fails nothing fancy just call hkhealthstore deleteobject anyone work example for this
35358984,hkhealthstore deleteobjects report error domain com apple healthkit code transaction failure trying delete somewhere around object single with hkhealthstore deleteobject and get this peculiar error here the code any idea thank
29636332,can hkanchoredobjectquery query for delete hksampletype healthkit have hkobserverquery set that then use hkanchoredobjectquery retrieve new addition for hksampletype there any way the same thing for hksampletype that delete hkobserverquery called delete but there doesn seem any way figure what was deleted thanks
30702100,how get daily sleep duration use apple healthkit app that read daily step and sleep data from apple healthkit for step pretty easy because apply option put the start date end date and date interval and you get but for sleep straight forward there being many thing stick first unlike steps sleep use sum because this method only accept also there being value type sleep and not sure which value best for just the sleep duration just use only for simplicity sleep data come array object each with start date and end date how effectively combine those data trim within day and get the daily sleep duration minutes out find this dttimeperiodcollection class pod that may this job but haven figure yet simply put anyone know how get daily sleep duration use apple healthkit please tell
34820225,how launch system apps ios xcode test case get app whose main purpose enter data into healthkit like write some xcode tests verify that write this data successfully but have some difficulty verify the data the health app when initially recorded test skipped simulated home button press but record swiped over the first home screen and navigate into the health app show the data points search for how press the home button and find this which work however none the other call recorded work for navigation outside the app the recorded code for swipe the home screen obviously look wrong and also doesn work when replace with the next couple line for launch app the home screen don even work for app icon that the currently visible page there any way achieve what trying need wait verify end end testing until add the ability read from healthkit app
33446271,can complication access healthkit when the watch screen off the watch screen off and the periodic complication reload happens healthkit accessed what about cmpedometer
26167182,ios8 app crashes xcode6 use healthkit actually trying convert apple sample code swift create app and appid for the devcenter check the entitlement for healthkit the ones for iap being greyed and check automatically when the provisioning profile create for downloade xcode and into preferences xcode and look account provisioning profile see the name the profile plus the expiration date and then there being some icon for entitlement but the provisioning profile create with healthkit doesnt have any icon for just the default one this normal because for some reason the app crashes upon request authorization with this error swimfit nscfconstantstr allowauthorizationforsharingwithentitlement unrecognized selector send instance swimfit terminate app due uncaught exception nsinvalidargumentexception reason nscfconstantstring allowauthorizationforsharingwithentitlement unrecognized selector send instance try run the device get this create appid for app activate that appid for healthkit create dev provision profile for that appid activate healthkit capabilities general see the entitlements plist create with com apple developer healthkit yes the info plist have the healthkit value for require capability the only weird thing this time and use differently for other app that when clicked build run some point let xcode create appid and get this from devcenter can upload the image but basically all previous appid are name after the app this one because its make xcode name xcode ios app com santiapps swimfit but its bundle identifier correct com santiapps swimfit and the dev profile ios team provision profile com santiapps swimfit and its the one build setting originally have swimfit because that the name the app xcode create automatic appid for with provprofile for well then thought create the appid and provprofile manually and tried calling swimfit2 both give the same error what else miss here the code here link with screen capture
31337539,revoke access grant application fitbit api fitbit conflict app user register themselves and then via fitbit oauth authenticate themselves using fitbit this give auth token and token secret want revoke access application via fitbit api code currently use removesubscriptions api call but its revoking access there any way which revoke access application from fitbit api want remove all the associated subscription and revoke them access application fitbit site there option settings applications revoke access button but want revoke access application code don revoke access throw fitbitexception error conflict because the same subscription use some other account application
16666294,how connect the fitbit zip over bluetooth linux with bluez purchase fitbit zip this device use bluetooth would like least connect via bluez that successful want see how much the protocol figure using lenovo ideapad which integrated support for bluetooth seems work kind when able find the device bluetooth address which though potentially irrelevant now read another question that listen for notification and other protocol features work with old bluetooth but experience with bluetooth getting stuck trying use connect the device the connection time and seems leave bluetooth bad state the linux box able fix that reloade bluetooth relate kernel modules any hint are appreciated trying with the latest bluez now
39652983,how get pedometer step count data same shealth gear tizen know tizen pedometer step count day get from tizen humanactivitymonitor case web application but fail get web app real gear device and also try with native system sensor api but find the pedometer api tizen native api how get step count day both native and web side
48288196,switch behavior when new enum values are adde various enums healthkit tend get new value adde with each release ios for have new value adde each ios version since its introduction say mapping this enum string value using swift statement this switch statement compiled against the ios sdk work fine and backward compatible with older ios versions note that the time compilation the switch statement exhaustive there case but new hkworkoutactivitytype values are adde ios and don recompile this code how will the getter behave for new enum values expect crash undefine behavior depend the type enum for example here objective but will swift enums behave differently etc
