id,text
29180692,dicom move with gdcm compositenetworkfunctions trying get dicom from server use gdcm test server set using orthanc when run the move request get what home myname build gdcm source source common gdcmexception when catch that exception find that unhandle exception more info catching run the program use gdb here what get here code mquerylevel gdcm eseries the interesting thing that with the write query file movequery dcm download the file just fine using movescu try different value for aet and call relative and absolute path different port although that shouldn movescu call uses the same port after all mquery currently type gdcm movepatientrootquery but try movestudyrootquery findpatientrootquery findstudyrootquery dive into the gdcm code follow the stacktrace but don understand enough what going the value for patientid the query well supply the seriesuid same result with patientid also adde the query here the contents the movequery dcm
50213791,dcm-for-chee wildfly server response wrong format eofexception currently store dicom file the wildfly server when want retrieve write file the problem when trying create dicomobject from the response file gives eofexception there nothing wrong with the dicom file which store the server itself store create dociomobject from and retrieve the image from think that the wildfly server encode with another format there something wrong with the response image normal dicom format image the reponse file format error message edit receive the dcm data from server this means have dicom object need parse this data create dicomobject from
48654474,calle title not recognised error echoscu trying test the connectivity dcmqrscp use the following command for start dcmqrscp please find the below config file that used create dicom echo well before run the dcmqrscp command the following echoscu command was used test the connectivity dcmqrscp but get the following error one observation normal echoscu operations the data dictionary loade correctly but the above logs echoscu couldn find any data dictionary load operation can you please help resolve the issue
43150051,how enable cors nodej with express summary use viewer like api dicom files call cornerstone for this connect the wado service dc4chee get the dicom dcm-for-chee run port and application node use port trying show the browser dicom this the error display the browser the documentation specified note that the web server support cross source resource shar the image fail load you being unable get cor enable the web server you loade dicom instances from you use reverse proxy here simple node base http proxy that add cors header that you find useful and show this example code but using express and this code work use npm cors here the code but with this enable the cors port and not the need the mode activate add access control allow origin headers response and header request how add cors port where dcm-for-chee run from nodej sorry for english update the server responds with the following responde header request header how enable the cors response header
52757300,how add transfer syntax uid the filemeta dataset use pydicom library generate dcm files use the dataset com from the and mri machine however that dataset the tag missing have that tag not able detect the transfer syntax whether implicit little endian explicit little endian jpeg lossless etc need the transfer syntax for save the dataset with flag like below use the above flag then the dcm file that generated will valid there transfer syntax since know the transfer syntax send the transfer syntax command line argument when run the program and set the above flag accordingly and save the dataset know this wrong method but just use temporary solution there any better way detect the transfer syntax please the tag miss below code that use for save the dcm file using the dataset com from the machine for now send the transfer syntax command line argument
58551159,how the scu receive dcm image from dicom server with get seen the official pynetdicom documentation but get the proper event handlers for the scu receiv image first create the required dcm file dataset and use the get command which give the dcm file but also specify where image are store the scu need use the move command get image code incomplete sense that event handlers being specified for scu onreceivestore expected the dcm send from the dicom server conquest server case but only recev the dicom tag confirm that this dataset give query the conquest server present want know exactly how receive the image scu use this application entity this the response from the conquest server the conquest server send the file but the scu unable receive
4809667,clearcanvas connection string for imageserver endpointaddress note asked this question the clearcanvas forum make own imageviewer wpf now need load dicom file with the imageserver use the workstation starting point making viewer from scratch using the clearcanvas dicom dll set the imageserver computer for testing connect with the workstation app but not with app that problem when try connect the imageserver via the code below the connection times connect imageserver with the workstation app not sure how configure connection string think here the setting use the workstation connect how translate this connection string
50000114,unable upload file orthanc server from application try upload dicom file local orthanc server but get the error that write the following code upload the file the server note tried upload the same file use postman and was uploade there thank for your help advance
31418156,send dicom file remote using visual studio goal send dicom file remote using visual studio plan implement the clearcanvas library divide the task into part know storagescu involve the sending part3 tried looking things clearcanvas forum the codes make much sense yet know where start from exactly can anyone who experience sending dicom file remote give some clue about how should even research the right track your help appreciated
12560259,dicom library support all dicom transfer syntax look for dicom library that support all possible transfer syntax list dicom standard decode every dicom medical image gdcm library doesn support all them thank advance dcmtk seem great library but use which not trivial this case you know something about mdcm library which transfer syntax support
